Tool,Platform,Encryption_Speed (ms),Decryption_Speed (ms),CPU_Usage (%),Memory_Usage (MB),Security_Level,Compatibility
RSA,Linux,4.91,19.2,48.37,386.25,High,Low
RSA,iOS,10.58,6.45,40.03,29.85,Medium,High
DES,Android,14.93,17.47,38.48,70.23,Low,Low
RSA,Windows,6.45,5.04,79.66,109.5,High,Medium
RSA,MacOS,13.53,17.37,14.69,206.96,Low,Low
Twofish,iOS,14,2.24,11.15,424.41,High,Medium
DES,Windows,4.93,11.21,81.6,179.67,High,High
Twofish,iOS,12.17,15.85,52.94,330.76,Low,High
ChaCha20,iOS,15.89,18.83,21.78,357.56,Medium,Medium
ChaCha20,MacOS,10.98,18.37,31.2,297.23,Medium,High
Twofish,Android,2.22,16.75,93.93,185.05,Medium,Medium
ChaCha20,Linux,2.16,17.99,87.36,292.76,Medium,Low
DES,Android,8.43,5.59,73.88,177.71,Low,Medium
AES,MacOS,18.67,7.12,53.4,51.1,High,Low
Twofish,MacOS,6.12,7.2,56.83,496.47,Low,Medium
Blowfish,MacOS,13.42,8.79,97.77,72.32,Medium,High
Blowfish,Windows,6,9.08,96.92,45.45,Medium,Medium
RSA,Android,7.79,11.8,29.37,440.48,Low,Medium
ChaCha20,Android,17.26,4.88,83,157.9,High,Medium
Blowfish,iOS,15.12,14.44,27.75,328.65,Low,High
RSA,iOS,3.72,5.02,29.22,171.21,Low,Medium
AES,iOS,9.72,7.59,70.85,201.81,Low,High
DES,MacOS,2.53,11.06,46.45,138.44,High,Medium
DES,Android,10.66,16.34,93.84,178.09,Low,Low
DES,MacOS,13.92,15.31,18.01,211.24,Low,Medium
Blowfish,Windows,4.13,13.62,56.04,363,Medium,Low
AES,iOS,7.2,4.8,92.67,260.65,Low,High
Blowfish,MacOS,9.16,11.85,91.37,472.35,Medium,High
ChaCha20,MacOS,18.55,3.57,24.09,30.52,Medium,Medium
Blowfish,Windows,19.88,8.79,43,256.5,Medium,High
AES,Linux,2.81,9.44,65.72,296.27,High,Medium
AES,Android,15.7,2.72,24.35,460.9,Medium,High
ChaCha20,Linux,8.69,6.93,97.12,34.09,Low,Low
AES,iOS,9.06,19.2,92.33,291.01,Low,High
AES,MacOS,15.58,19.17,25.03,428.28,Medium,Low
DES,Windows,18.53,8.34,20.9,128.54,Medium,Medium
ChaCha20,Windows,19.12,2.78,17.69,439.38,Low,Medium
ECC,Android,12.39,5.22,91.85,19.33,Medium,Medium
ECC,Linux,8.43,9.06,27.43,368.9,High,Low
AES,Android,16.18,19.06,47.47,467.23,Medium,Medium
ECC,MacOS,6.52,4.54,50.4,332.03,High,Medium
ECC,Android,12.15,15.74,63.91,225.12,High,Low
AES,Windows,8.45,3.96,16.46,31.99,High,High
ECC,Windows,13.82,19.66,30.41,460.86,Medium,Medium
Blowfish,iOS,6.33,8.87,93.83,240.45,High,High
RSA,iOS,5.45,15.95,91.76,24.21,High,High
ChaCha20,MacOS,18.53,8.17,80.32,348.01,Medium,Medium
RSA,Linux,3.83,13.3,11.75,246.1,High,Medium
AES,Android,11.11,5.46,39.43,70.93,Medium,Low
DES,MacOS,5.98,4.63,66.52,114.99,Low,Low
ChaCha20,iOS,2.7,18.89,34.77,41.6,High,Medium
AES,Android,2.65,18.52,91.86,291.4,Medium,High
DES,iOS,5.15,17.97,67.05,314.79,Low,Low
RSA,Android,17.6,13.26,16.47,257.81,High,Low
AES,Linux,7.08,16.55,91.81,410.38,High,Medium
ChaCha20,MacOS,19.11,3.24,96.2,431.89,Medium,Medium
ChaCha20,Android,12.47,8.03,16.99,311.66,Low,Medium
Twofish,Windows,9.86,7.65,57.91,16.25,Medium,Medium
Blowfish,Windows,12.44,13.44,37.3,350.66,High,Low
ECC,Android,11.3,8.41,45.36,214.82,High,Low
DES,Android,15.66,4.67,26.17,287.12,High,Low
Twofish,Android,7.08,12.74,62.03,328.05,High,High
ECC,Windows,8.35,16.66,96.22,181.62,Low,Low
ECC,Windows,18.09,8.88,55.28,459.38,Low,Low
AES,Android,19.04,4.38,17.46,75.65,Medium,Medium
ECC,iOS,18.07,5.54,65.8,339.04,Medium,Low
Blowfish,iOS,9.55,6.27,40.62,12.14,Medium,Low
ChaCha20,Linux,16.05,7.4,87.03,463.08,High,Low
Twofish,MacOS,10.57,13.57,49.12,65.13,Medium,Medium
ECC,iOS,10.96,12.82,27.36,56.49,Low,Low
AES,Windows,5.68,14.53,27.2,173.17,Medium,Low
Blowfish,iOS,12.64,8.53,79.19,193.05,Medium,High
RSA,Linux,5.35,16.83,33.9,115.01,Low,High
ChaCha20,Linux,7.97,5.67,79.05,296.71,Low,High
ChaCha20,MacOS,17.39,10.44,28.53,227.03,High,High
Twofish,iOS,5.73,16.42,38.95,26.75,Low,Medium
ChaCha20,Windows,3.28,5.24,51.89,166.63,Low,High
ECC,Windows,3.24,3.98,94.89,407.11,Medium,Low
AES,Android,18.93,17.91,93.86,347.95,Low,High
ChaCha20,Windows,11.12,8.17,28.62,365.19,High,Medium
ChaCha20,MacOS,9.37,14.31,42.24,352.08,Medium,High
RSA,MacOS,16.6,2.46,23.45,162.38,High,High
RSA,Windows,17.04,14.42,55.9,58.84,Low,Medium
DES,Windows,7.98,7.69,51.45,143.51,High,Medium
Blowfish,Android,14.49,3,91.07,417.57,High,Medium
ECC,Windows,15.88,12.98,93.7,490.43,Low,Medium
ChaCha20,Android,13.78,6.33,44.52,251.99,Low,Medium
ChaCha20,Android,4.73,8.96,54.26,14.75,Medium,Medium
AES,Windows,17.77,3.45,90.66,78.62,Medium,Low
DES,Linux,11.7,4.65,82.6,167.82,Medium,High
Blowfish,Linux,7.08,7.36,10.33,293.51,Low,High
DES,Android,9.65,3.62,38.81,46.8,High,Medium
Twofish,Windows,2.68,18.39,47.96,472.25,High,Medium
Blowfish,Linux,4.3,2.11,30.67,188.89,Medium,Low
ChaCha20,Windows,15.78,10.71,27.96,457.17,Medium,Low
ChaCha20,Windows,2,4.22,13.4,392.46,Low,Medium
Blowfish,Windows,9.5,7.54,67.9,380.16,High,Low
ChaCha20,iOS,11.41,18.67,33.63,307.29,Medium,Low
ECC,Windows,2.98,4.91,14.71,317.12,Low,Medium
Blowfish,iOS,19.52,19.38,30.79,322.62,Medium,Medium
DES,Android,6.07,5.7,82.17,318.07,Low,Medium
Blowfish,Linux,7.48,15.35,86.63,281.33,High,Medium
ChaCha20,Linux,7.47,11.84,53.48,493.34,Low,High
ECC,Linux,6.15,17.92,47.45,368.82,Medium,High
ECC,Linux,2.03,11.97,98.01,390.7,Medium,Medium
Twofish,Linux,15.13,11.62,28.05,437.51,High,Low
DES,Linux,19.4,5.52,29.38,115.66,High,Medium
RSA,Linux,6.04,4.99,36.27,51.06,Medium,High
RSA,Android,13.93,18.5,25.55,246.62,Medium,Low
Blowfish,Windows,15.35,7.9,44.14,261.9,Medium,High
Twofish,MacOS,17.27,8.7,91.98,416.3,High,Medium
AES,iOS,9.61,15.68,65.38,227.45,Medium,High
Blowfish,MacOS,7.45,8.1,47.08,289.72,High,High
Twofish,MacOS,7.86,19.14,94.1,268.26,Medium,High
DES,Windows,14.83,15.28,14.36,28.72,Low,Low
DES,Windows,16.7,12.75,28.92,311.46,Low,High
DES,Windows,5.27,17.86,60.93,415.74,Medium,Low
DES,Linux,8.68,2.89,65.4,87.18,Low,Medium
DES,Android,18.23,6.63,13.56,301.22,High,Medium
Twofish,Linux,16.52,10.37,46.27,300.87,Low,High
Twofish,Android,19.73,6.09,68.42,90.45,Low,Low
ECC,Android,15.58,15.39,72.83,70.5,High,Medium
RSA,MacOS,9.08,18.55,67.43,490.23,Low,Low
ChaCha20,MacOS,12.63,9.63,38.85,202.92,Low,Low
DES,Android,13.9,8.16,18.42,121.44,Medium,High
AES,Android,3.41,19.31,48.44,93.95,High,High
ChaCha20,Linux,11.8,10.01,21.59,337.12,High,Low
Twofish,Linux,14.77,10.8,95.29,308.63,Medium,Low
AES,MacOS,5.01,8.33,52.77,325.34,Medium,High
AES,Windows,16.05,18.37,38.55,53.12,Low,Low
AES,Android,12.51,12.24,78.97,447.83,Low,High
ECC,Linux,19.14,15.72,54.82,200.74,Low,Low
Twofish,MacOS,2.76,16.61,37.9,163.55,Medium,High
AES,Linux,6.78,8.15,83.08,236.56,High,Low
DES,Android,12.83,9.81,88.04,201.13,Low,High
Blowfish,Android,7.34,17.27,70.57,433.15,Medium,Low
AES,iOS,14.86,8.54,14.23,465.34,High,Medium
ECC,Windows,15.66,16.29,60.97,158.69,Medium,Medium
ChaCha20,iOS,3.85,18.94,78.7,433.33,Low,Low
Twofish,MacOS,11.25,13.22,22.29,392.95,Medium,Medium
ECC,Linux,11.16,15.35,30.58,466.1,Medium,Low
AES,MacOS,8.65,16.49,89.42,130.42,Medium,Low
Twofish,Android,18.79,17.21,11.81,292.71,Medium,Medium
Blowfish,iOS,16.9,9.11,77.75,144.53,High,Low
AES,iOS,14.55,2.92,52.64,413.81,Low,High
ECC,iOS,14.86,9.23,50.21,12.61,High,Low
RSA,MacOS,10.31,14.13,10.64,286.76,Medium,Low
DES,Android,18.58,10.11,83.75,176.21,Medium,Medium
ChaCha20,Linux,14.5,15.48,42.38,168.12,Low,High
ECC,Linux,15.12,8.43,58.67,326,Low,Low
Twofish,MacOS,17.51,13.43,70.96,427.23,High,Low
AES,iOS,6.93,5.36,73.24,308.51,High,Low
DES,Windows,16.53,15.49,96.04,428.05,Low,Low
AES,MacOS,5.51,11.82,57.82,139.65,High,Low
Twofish,MacOS,8.22,5.67,45.97,264.56,Medium,Low
AES,Android,8.04,7.25,95.83,230.76,Medium,High
RSA,Linux,19.61,15.47,67.79,15.71,Low,High
DES,MacOS,17.42,10.69,36.83,282.84,High,Low
DES,MacOS,14.62,5.89,21.38,334.15,Medium,Low
Twofish,iOS,15.09,19.41,85.83,300.04,Low,Medium
ChaCha20,iOS,12.12,14.87,42.6,370.78,High,High
RSA,Windows,19.05,19.23,69.44,289.96,Medium,High
ECC,Android,10.93,9.69,52.37,42.71,High,Low
AES,Windows,8.85,10.55,27.9,67.06,High,High
Blowfish,iOS,4.93,18.16,64.15,302.27,High,High
AES,Linux,16.15,11.45,15.46,144.74,Low,Medium
AES,iOS,15.22,14.73,47.2,49.03,Medium,Medium
ECC,Android,8.92,6.54,59.2,220.51,Low,High
AES,iOS,2.45,10.04,49.24,281.62,Medium,High
RSA,Android,17.1,4.22,77.38,171.09,Medium,High
RSA,Android,2.21,5.71,84.51,363.01,Low,Low
DES,Android,14.67,2.02,79.41,325.45,Low,Medium
Twofish,Android,19.46,2.71,13.49,173.08,Medium,Low
ChaCha20,Android,9.88,19.59,27.47,379.89,Medium,Medium
Blowfish,Linux,6.23,6.36,58.29,327.86,Medium,Medium
AES,Windows,14.69,13.94,94.13,322.35,High,Medium
AES,MacOS,16.71,17.1,85.15,281.18,Medium,High
ECC,Windows,11.84,11.91,85.83,15.58,Low,Medium
Twofish,Android,19.41,4.76,37.29,351.29,Low,Low
RSA,Linux,2.93,15.11,48.65,194.26,Low,Medium
Blowfish,iOS,11.09,12.8,52.36,471.88,Medium,Low
DES,Linux,14.93,15.16,24.16,410.81,Medium,Medium
RSA,Android,17.53,15.86,12.8,297.97,High,Medium
Twofish,Linux,5.23,19.56,95.22,133.57,High,High
ChaCha20,Linux,16.4,12.32,31.66,109.82,Low,Low
DES,Android,11.95,8.15,31.6,176.79,High,Medium
ChaCha20,Linux,9.14,13.67,17.5,243.52,High,Medium
ECC,MacOS,4.37,3.23,93.57,155.07,Low,Low
ECC,MacOS,17.58,18.15,62.18,262.32,Medium,Medium
AES,Linux,4.83,4.15,70.03,91.03,High,High
ChaCha20,iOS,7.58,7.9,92.04,489.08,Medium,Low
Twofish,Android,7.22,16.68,41.11,62.88,Low,High
Blowfish,MacOS,17.69,12.75,65.94,466.65,Low,Low
DES,iOS,14.11,9.09,13.49,457.65,High,Low
RSA,Linux,16.34,10.52,26.81,267.43,Low,Low
Twofish,iOS,6.51,17.38,84.81,365.21,Low,Medium
Twofish,Windows,13.25,8.12,79.01,223.66,Low,Low
ECC,MacOS,12.29,17.65,41.56,318.72,High,Low
ChaCha20,Linux,16.99,3.59,43.91,176.88,High,Low
AES,Android,18.31,15.98,58.02,157.57,High,High
AES,Linux,2.22,17.26,10.02,293.33,Low,Low
DES,Android,14.13,5.27,31.71,254.08,Medium,Medium
ECC,Linux,2.93,9.75,28.74,293.97,Low,Low
Twofish,iOS,11.88,4.98,32.54,150.46,High,Low
Blowfish,iOS,7.18,14.72,82.53,189.81,Medium,High
ECC,iOS,7.52,11.64,35.17,51.11,Medium,Medium
DES,Windows,8.35,13.44,27.24,35.62,High,Medium
DES,Android,13.18,5.54,55.38,134.19,Medium,Medium
ECC,iOS,8.01,5.81,87.91,46.38,Medium,Low
DES,Windows,15.19,2.75,31.72,60.85,High,Low
ECC,Android,9.28,7.8,17.07,408.33,Medium,Medium
RSA,Linux,3.23,12.08,42.08,29.05,Medium,Medium
ECC,Windows,16.11,17.44,77.29,332.88,High,High
ChaCha20,MacOS,7.14,14,59.56,143.55,Medium,Medium
ECC,Windows,9.79,9.84,83.51,437.06,Medium,Low
DES,Windows,14.34,19.16,96.36,247.65,Medium,Low
ChaCha20,Android,7.98,14.95,81.34,159.73,Medium,Low
DES,Linux,3.02,18.74,64.34,263.64,High,High
AES,MacOS,8.73,11.5,54.4,197.16,Low,Medium
AES,iOS,19,6.66,13.61,286.51,Low,Low
ChaCha20,iOS,13.55,2.95,98.59,66.12,Medium,High
RSA,Windows,14.09,15.07,44.51,498.53,High,High
AES,Android,13.38,4.18,23.7,218.52,High,Low
ECC,Android,5.58,7.45,70,180.63,Medium,High
DES,iOS,9.53,11.58,35.59,358,Low,High
AES,MacOS,15.52,12.16,62.72,188.31,Medium,Low
AES,Linux,3.82,12.81,62.81,418.3,High,High
RSA,MacOS,7,4.99,50.12,232.59,High,Low
ChaCha20,Linux,6.97,8.84,85.25,362.58,Low,Low
ChaCha20,iOS,9.78,13.11,33.85,62.65,High,High
Twofish,Linux,19.65,19.46,50.38,424.6,High,Low
RSA,Android,3.22,15.1,58.39,370.5,High,Low
ECC,Windows,11.34,18.61,69.73,113.74,Low,Medium
ChaCha20,Windows,5.23,15.72,80.56,81.19,High,Low
DES,iOS,19.47,12.65,45.53,164.98,Medium,Medium
RSA,Android,4.04,5.46,68.14,488.27,Low,Medium
AES,MacOS,9.26,14,23.55,135.85,Medium,Medium
DES,Android,15.28,13.22,93.94,233.5,Medium,Medium
DES,Windows,14.68,12.84,44.48,24.71,Low,High
AES,Windows,9.61,10.82,75.66,204.64,Medium,High
RSA,Android,8.24,11.52,11.83,289.95,Low,Low
AES,Android,9.16,8.02,28.47,477.03,Medium,Low
Twofish,Windows,6.76,11.35,53.84,263.2,Low,Low
DES,MacOS,5.7,5.56,89.04,411.36,High,High
Blowfish,iOS,10.69,16.49,57.45,278.09,High,Medium
Blowfish,iOS,6.83,5.34,93.69,29.98,Medium,High
ECC,Android,7.17,3.53,53.54,164.35,High,High
ChaCha20,iOS,13.82,9.85,54.14,292.02,Low,Low
AES,Windows,19.43,13.85,20.78,475.79,Medium,Low
AES,Windows,12.87,9.88,82.24,430.97,High,Low
ECC,Android,3.39,6.98,32.23,121.89,High,Medium
ECC,Android,3.36,12.05,90.97,117.85,Medium,Medium
ECC,Android,19.13,8.25,91.97,108.57,High,High
DES,MacOS,7.35,18.79,94.9,462.02,High,Medium
Twofish,iOS,3.66,18.61,56.82,427.81,Medium,Low
AES,Android,12.78,11.04,70.94,389.69,High,Medium
DES,Linux,13.23,7.9,80.07,202.44,High,Medium
ECC,Linux,13.67,15.27,21.79,257.15,High,Medium
AES,Windows,6.81,2.66,64.09,237.52,High,Medium
DES,iOS,2.27,10.55,13.09,134.17,Medium,Low
Twofish,Android,19.37,8.05,54.78,257.46,Low,Low
DES,Linux,6.52,18.57,23.94,24.94,Low,High
Twofish,iOS,14.17,2.22,26.46,74.59,High,High
ECC,Windows,14.72,11.95,42.85,444.43,High,High
Twofish,MacOS,12.98,15.33,48.92,378.32,Low,Medium
AES,iOS,7.63,10.73,66.09,217.21,High,Medium
ECC,iOS,6.88,3.54,16.7,263.4,Low,Low
AES,MacOS,12.76,19.5,55.33,191.3,Medium,High
Blowfish,iOS,17.59,11.32,26.44,372.98,Medium,Low
RSA,Windows,19.04,13.06,61.66,394.25,Medium,High
Twofish,Windows,3.91,6.26,67.37,384.01,Medium,High
RSA,MacOS,4.79,10.7,60.1,364.08,Medium,High
RSA,Android,19.01,9.72,76.45,110.21,Medium,Medium
Twofish,Linux,15.26,3.35,40.2,175.61,Low,High
ECC,Android,17.89,3.91,78.86,240.22,High,High
Blowfish,iOS,5.65,17.07,48.95,172.09,Low,Medium
AES,Linux,12.58,6.32,53.58,379.92,Medium,High
DES,MacOS,14.62,5.51,68.33,171.38,High,Medium
AES,MacOS,14.24,11.09,11.65,77.73,High,Medium
DES,Linux,9.35,15.84,68.86,205.53,Medium,Low
AES,Windows,2.28,3.12,65.67,490.16,Medium,Medium
Twofish,Linux,12.49,12.38,37.89,120.68,Medium,Medium
Blowfish,iOS,6.56,4.15,17.72,309.96,Medium,Medium
DES,Windows,10.1,2.66,18.18,222.16,Medium,High
ChaCha20,MacOS,19.24,2.95,93.09,44.8,Medium,Low
ECC,Linux,9.18,17.01,72.04,249.06,High,High
AES,Android,17.12,4.12,21.44,354.06,Medium,Medium
AES,Android,5.39,2.81,42.11,261.48,Medium,Medium
DES,iOS,14.1,9.88,63.32,437.33,High,Low
ECC,Android,19.59,17.19,85.2,151.58,Low,Low
ECC,Linux,3.83,6.72,13.93,52.26,Medium,Medium
Twofish,Linux,2.15,9.59,31.3,468.92,High,Medium
ChaCha20,Android,9.8,2.72,90.08,195.32,High,High
Twofish,Linux,3.67,10.08,10.82,292.44,Low,Medium
Twofish,iOS,15.47,12.4,28.13,398.08,Medium,High
Twofish,Windows,18.46,12.28,96.31,168.91,Medium,Low
Twofish,iOS,9.81,7.98,65.21,360.92,Medium,High
Twofish,iOS,6.66,7.68,33.55,76.36,High,Medium
Blowfish,Linux,9.82,3.92,16.03,152.73,Medium,High
ECC,Windows,15.02,8.6,12.54,80.91,Medium,High
Twofish,Linux,2.16,3.79,32.03,407.5,Medium,Low
ECC,MacOS,12.61,15.8,89.33,119.1,Medium,High
ECC,Linux,13.04,19.39,47.43,361.53,Low,Medium
RSA,Linux,13.48,19.46,74.83,472.22,Low,High
Blowfish,Linux,6.36,17.57,92.65,268.61,Low,High
Twofish,Windows,14.85,12.81,46.72,274.61,Medium,High
AES,Linux,3.65,14.62,27.21,235.91,Medium,Medium
DES,Windows,5.59,7.13,56.54,169.69,High,High
ChaCha20,Android,17.79,13.35,91.73,243.07,High,Medium
AES,MacOS,15.3,10.2,82.39,305.38,High,High
Blowfish,Windows,2.25,10.68,15.92,493.14,Medium,Low
DES,Android,6.47,15.64,72.33,469.5,Low,Low
Blowfish,Windows,5.86,7.07,61.47,432.45,Low,Low
ECC,Windows,6.87,7.72,91.67,445.67,Low,Medium
DES,MacOS,6.46,18.64,21.02,239.25,Medium,Medium
ECC,iOS,3.13,3.01,58.06,332.15,Low,Medium
AES,iOS,10.26,10.74,89.15,448.58,High,High
AES,Windows,15.19,18.43,46.9,202.55,High,Medium
DES,Linux,12.92,12.99,53.38,481.26,Low,Medium
DES,Android,14.11,11.84,16.34,213.74,High,Medium
Twofish,Linux,3.46,6.5,35.03,304.53,Low,Medium
Blowfish,Linux,19.13,8.18,39.21,357.8,Low,Low
Twofish,Windows,17.09,17.34,95.06,475.79,High,High
Blowfish,Windows,16.49,12.07,35.44,129.86,High,Low
Twofish,Windows,16.81,11.27,51.48,375.6,High,High
ECC,Windows,18.79,3.79,70.42,265.2,High,High
DES,iOS,11.8,2.29,24.6,141.59,Low,Low
AES,Windows,5.61,19.35,53.78,390.54,High,Medium
Blowfish,iOS,13.1,8.79,76.47,280.59,High,Low
Blowfish,iOS,15.37,12.86,88.02,333.88,Medium,High
AES,Windows,15.28,3.43,66.36,168.22,High,High
Twofish,MacOS,11.39,14.3,70.21,245.82,High,Medium
Blowfish,Android,3.23,18.79,21.37,312.5,Low,Low
ChaCha20,Linux,8.68,12.36,95.12,208.41,Low,High
ECC,iOS,18.57,4.27,21.93,107.2,Medium,Low
DES,Android,12.52,12.47,79.72,481.2,High,Medium
AES,MacOS,11.69,15.79,33.83,260.62,High,Medium
DES,Linux,6.84,9.32,94.02,369.62,High,High
ChaCha20,Linux,8.63,17.84,74.8,211.41,High,Medium
Blowfish,iOS,18.12,13.68,77.84,184.01,High,High
Blowfish,Windows,14,18.19,29.72,209.51,High,High
ChaCha20,MacOS,16.17,13.22,49.87,210.51,Medium,Medium
AES,iOS,10.18,4.36,65.6,276.65,High,Medium
ECC,MacOS,13.34,7.57,79.3,276.3,High,Low
RSA,Windows,6.47,5.63,19.36,253.61,High,Low
AES,Windows,14.7,18.36,96.61,76.05,Medium,High
RSA,iOS,9.7,15.69,90.12,253.08,High,Low
ChaCha20,Windows,9.97,14.18,34.33,92.86,Medium,High
Twofish,Android,13.69,7.42,84.05,71.81,Low,Medium
RSA,Linux,18.85,5.31,56.65,467,High,Medium
ECC,iOS,3.15,15.62,51.56,306.43,Medium,Low
Twofish,MacOS,16.85,10.53,38.3,333.15,Low,High
RSA,Android,7.26,6.06,62.29,206.88,Medium,High
ChaCha20,iOS,9.99,13.1,75.69,455.4,Medium,Low
Twofish,Windows,2.39,2.73,46.98,322.59,Low,High
ChaCha20,Windows,7.42,7.87,66.63,386.89,High,High
RSA,Windows,11.05,10.43,72.94,190.6,High,Medium
ChaCha20,Windows,3.01,4.66,74,480.41,Medium,High
ECC,MacOS,10.84,19.72,14.68,412.03,Low,High
RSA,Android,18.69,5.76,87.38,428.43,High,High
RSA,Linux,3.9,4.35,51.24,94.38,Medium,Low
RSA,MacOS,15.76,5.66,33.62,142.77,Low,Low
AES,MacOS,9.37,15.84,31.76,149.96,Medium,Low
AES,Linux,13.79,9.66,53.47,142.75,Low,High
AES,Linux,6.68,12.18,89.81,429.15,High,High
ECC,Windows,4.87,2.38,44.05,25.62,High,Low
Twofish,MacOS,4.89,2.62,77.48,47.29,Medium,Low
ChaCha20,iOS,3.27,10.02,18.71,144.22,High,High
Blowfish,Linux,5.34,16.7,52.85,107.94,High,High
RSA,Linux,13.96,17.93,99.25,123.61,Low,Medium
ChaCha20,Android,17.87,3.56,79.34,400.99,High,Low
RSA,iOS,16.65,11.69,28.95,285.93,Low,High
ECC,iOS,14.33,18.44,55.13,12.83,Low,Low
RSA,Linux,3.99,8.98,31.03,220.37,Medium,Low
AES,Windows,7.21,16.93,46.86,209.86,Low,Low
Blowfish,Android,7.58,4.41,80.21,65.83,High,Medium
DES,iOS,6.5,18.84,79.41,341.31,Low,High
RSA,Linux,11.27,15.53,30.53,354.03,Low,High
ChaCha20,iOS,11.64,18.94,93,363.24,Medium,Low
AES,Android,8.42,14.18,63.33,366.95,High,High
DES,Android,8.37,8.54,44.19,10.03,High,Medium
Blowfish,MacOS,16.91,18.89,55.17,477.42,High,Low
DES,Linux,16.21,6.96,64.46,408.96,Low,Medium
AES,Android,7.54,7.98,60.39,452.95,High,Medium
Twofish,MacOS,18.45,14.61,53.78,17.67,High,High
Twofish,MacOS,19.15,15.78,55.44,467.59,Low,High
DES,iOS,7.88,18.73,25.88,406.8,Medium,Medium
ECC,iOS,8.38,5.69,83.15,420.24,Medium,High
ChaCha20,MacOS,11.1,16.36,58.76,55.71,Low,Medium
ChaCha20,iOS,18.94,15.29,21.8,372,Medium,Medium
DES,Android,17.77,3.15,78.95,480.36,Medium,Low
RSA,Windows,3.85,8.97,93.92,342.49,Medium,Medium
RSA,Android,9.07,7.09,95.26,289.58,High,Medium
ChaCha20,MacOS,11.96,7.48,43.21,473.36,Medium,High
ChaCha20,MacOS,11.06,19.69,22.2,227.04,High,Low
Twofish,Android,5.49,13.57,56.66,303.65,Medium,High
ECC,iOS,17.46,14.92,20.13,243.41,High,Low
AES,iOS,14.18,19.58,94.06,467.09,Low,High
RSA,MacOS,17.08,8.79,26.52,47.28,Low,Medium
ChaCha20,Linux,17.46,16.43,32.75,255.55,Medium,Low
Twofish,iOS,15.47,9.82,46.6,346.61,High,Low
Blowfish,Android,9.91,17.65,44.48,398.03,Low,Low
Twofish,iOS,12.99,5.25,81.52,295.68,Low,Low
RSA,Android,4.89,19.06,51.07,455.37,Low,High
RSA,MacOS,14.13,5.94,25.37,471.58,Low,High
Twofish,iOS,5.23,7.87,34.05,41.52,Medium,Low
AES,Android,14.49,15.61,55.82,207.16,High,Low
DES,MacOS,6.13,9.09,23.27,21.49,Low,Low
RSA,Linux,4.12,12.95,65.05,171.41,Medium,High
Twofish,Android,4.98,10,60.92,273.07,Low,Low
ChaCha20,Linux,2.04,15.36,74.32,456.29,Low,Low
Twofish,Linux,14.94,6.11,94.39,424.81,Low,Low
ECC,Windows,15.18,3.05,92.1,72.47,Low,High
DES,iOS,11.27,7.4,95.15,55.58,Medium,Medium
Blowfish,Android,4.9,10.54,32.02,298.74,High,Medium
AES,Linux,3.5,5.02,21.84,270.74,Medium,High
Blowfish,Windows,2.34,8.39,37.2,140.53,Medium,Medium
DES,MacOS,4.98,9.2,90.56,450.73,Medium,Low
DES,Android,18.04,3.03,97.48,464.41,Low,Low
DES,Linux,6.35,12.5,87.34,207.28,High,High
Blowfish,iOS,8.38,17.92,19.9,446.25,Low,High
ChaCha20,Windows,3.9,4.73,95.27,198.13,Medium,Medium
DES,Linux,6,12.76,48.1,371.04,Low,Medium
Twofish,iOS,11.35,13.97,10.84,243.21,High,Low
Blowfish,Linux,12.94,9.55,49.82,70.07,High,High
DES,Android,6.42,14.62,14.15,464.69,Low,Medium
Twofish,Android,3.04,9.39,58.95,232.51,Medium,Medium
ChaCha20,Android,9.04,11.08,40.47,369.9,Low,Low
ECC,Windows,6.22,2.13,52.61,189.92,Medium,Low
ChaCha20,Android,5.95,14.45,65.19,19.25,High,Low
DES,iOS,19.28,13.9,88.19,59.26,Low,Low
Blowfish,Linux,13.09,2.69,69.57,253.15,High,Medium
RSA,MacOS,12.02,8.63,49.06,348.08,Medium,High
DES,iOS,9.48,19.62,83.75,174.02,Medium,High
RSA,iOS,9.72,9.57,91.5,350.79,Low,Low
Twofish,Android,11.74,11.04,20.78,352.33,Low,Low
ECC,Windows,14.54,18.38,57.87,354.93,Low,Medium
AES,Linux,14.64,14.91,35.61,251.34,High,Low
ChaCha20,Windows,5.09,12.48,14.24,458.29,Medium,High
ECC,Linux,11,16.36,70.17,249.71,Medium,Low
DES,Linux,9.42,17.56,87.65,230.63,High,High
RSA,Windows,17.67,10.22,24.66,107.7,Low,Low
ChaCha20,iOS,13.37,10.55,83.12,160.75,Low,Low
RSA,Linux,11.59,8.95,86.81,30.74,High,High
Blowfish,Windows,4.08,19.4,92.29,320.43,Medium,Medium
RSA,Linux,12.9,14.55,33.88,131.78,Medium,Medium
Blowfish,MacOS,4.11,3.5,91.36,159.04,Medium,Low
Twofish,iOS,8.07,17.53,38.86,387.7,Medium,Low
ChaCha20,Android,4.57,10.65,59.71,170.34,High,High
ChaCha20,Linux,14.46,3.24,14.55,128.68,Medium,High
AES,MacOS,5.71,11.89,13.95,92.84,High,Low
DES,Android,9.05,9.51,74.83,389.68,Low,High
Blowfish,Android,18.12,17.8,50,73.56,High,Medium
AES,Linux,5.68,5.67,33.07,232.34,Medium,Medium
RSA,Windows,11.14,16.88,27.14,258.4,Low,High
RSA,Linux,9.55,12.04,70.3,346.82,High,High
AES,MacOS,2.33,2.98,10.04,320.31,High,High
ChaCha20,Android,16.27,19.49,82.53,407.25,High,Medium
RSA,Linux,3.24,11.23,17.13,31.93,Low,Low
